Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-06-13 15:59:02,17,125
kujawsko-pomorskie,no-data,2020-06-13 15:59:02,4,49
lubelskie,no-data,2020-06-13 15:59:02,6,16
lubuskie,no-data,2020-06-13 15:59:02,1,0
łódzkie,no-data,2020-06-13 15:59:02,37,107
małopolskie,no-data,2020-06-13 15:59:02,18,40
mazowieckie,no-data,2020-06-13 15:59:02,66,297
opolskie,no-data,2020-06-13 15:59:02,18,49
podkarpackie,no-data,2020-06-13 15:59:02,16,38
podlaskie,no-data,2020-06-13 15:59:02,9,9
pomorskie,no-data,2020-06-13 15:59:02,6,37
śląskie,no-data,2020-06-13 15:59:02,209,260
świętokrzyskie,no-data,2020-06-13 15:59:02,2,26
warmińsko-mazurskie,no-data,2020-06-13 15:59:02,0,1
wielkopolskie,no-data,2020-06-13 15:59:02,24,164
zachodniopomorskie,no-data,2020-06-13 15:59:02,7,19
