Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-04-28 11:59:03,1436,41
kujawsko-pomorskie,no-data,2020-04-28 11:59:03,499,26
lubelskie,no-data,2020-04-28 11:59:03,356,13
lubuskie,no-data,2020-04-28 11:59:03,87,0
łódzkie,no-data,2020-04-28 11:59:03,890,21
małopolskie,no-data,2020-04-28 11:59:03,849,29
mazowieckie,no-data,2020-04-28 11:59:03,2376,184
opolskie,no-data,2020-04-28 11:59:03,376,26
podkarpackie,no-data,2020-04-28 11:59:03,317,19
podlaskie,no-data,2020-04-28 11:59:03,365,3
pomorskie,no-data,2020-04-28 11:59:03,392,7
śląskie,no-data,2020-04-28 11:59:03,2001,102
świętokrzyskie,no-data,2020-04-28 11:59:03,264,8
warmińsko-mazurskie,no-data,2020-04-28 11:59:03,146,1
wielkopolskie,no-data,2020-04-28 11:59:03,1359,81
zachodniopomorskie,no-data,2020-04-28 11:59:03,376,9
