Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-03-17 18:59:04,33,2
kujawsko-pomorskie,no-data,2020-03-17 18:59:04,8,0
lubelskie,no-data,2020-03-17 18:59:04,22,1
lubuskie,no-data,2020-03-17 18:59:04,2,0
łódzkie,no-data,2020-03-17 18:59:04,34,0
małopolskie,no-data,2020-03-17 18:59:04,5,0
mazowieckie,no-data,2020-03-17 18:59:04,38,0
opolskie,no-data,2020-03-17 18:59:04,7,0
podkarpackie,no-data,2020-03-17 18:59:04,11,1
pomorskie,no-data,2020-03-17 18:59:04,8,0
śląskie,no-data,2020-03-17 18:59:04,23,0
świętokrzyskie,no-data,2020-03-17 18:59:04,3,0
warmińsko-mazurskie,no-data,2020-03-17 18:59:04,7,0
wielkopolskie,no-data,2020-03-17 18:59:04,13,1
zachodniopomorskie,no-data,2020-03-17 18:59:04,7,0
