Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-07-22 11:59:02,3 094,152
kujawsko-pomorskie,no-data,2020-07-22 11:59:02,726,49
lubelskie,no-data,2020-07-22 11:59:02,891,20
lubuskie,no-data,2020-07-22 11:59:02,332,2
łódzkie,no-data,2020-07-22 11:59:02,3 690,199
małopolskie,no-data,2020-07-22 11:59:02,2 646,49
mazowieckie,no-data,2020-07-22 11:59:02,5 809,370
opolskie,no-data,2020-07-22 11:59:02,1064,54
podkarpackie,no-data,2020-07-22 11:59:02,1122,56
podlaskie,no-data,2020-07-22 11:59:02,922,16
pomorskie,no-data,2020-07-22 11:59:02,774,39
śląskie,no-data,2020-07-22 11:59:02,14 671,375
świętokrzyskie,no-data,2020-07-22 11:59:02,926,45
warmińsko-mazurskie,no-data,2020-07-22 11:59:02,324,2
wielkopolskie,no-data,2020-07-22 11:59:02,3 498,191
zachodniopomorskie,no-data,2020-07-22 11:59:02,673,23
