Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-06-16 11:59:02,2 778,129
kujawsko-pomorskie,no-data,2020-06-16 11:59:02,627,49
lubelskie,no-data,2020-06-16 11:59:02,544,16
lubuskie,no-data,2020-06-16 11:59:02,142,0
łódzkie,no-data,2020-06-16 11:59:02,2 541,113
małopolskie,no-data,2020-06-16 11:59:02,1 529,40
mazowieckie,no-data,2020-06-16 11:59:02,4 450,303
opolskie,no-data,2020-06-16 11:59:02,811,50
podkarpackie,no-data,2020-06-16 11:59:02,485,40
podlaskie,no-data,2020-06-16 11:59:02,628,9
pomorskie,no-data,2020-06-16 11:59:02,590,38
śląskie,no-data,2020-06-16 11:59:02,11 246,272
świętokrzyskie,no-data,2020-06-16 11:59:02,636,26
warmińsko-mazurskie,no-data,2020-06-16 11:59:02,192,1
wielkopolskie,no-data,2020-06-16 11:59:02,2 408,166
zachodniopomorskie,no-data,2020-06-16 11:59:02,588,20
