Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-05-04 13:59:03,1720,52
kujawsko-pomorskie,no-data,2020-05-04 13:59:03,557,30
lubelskie,no-data,2020-05-04 13:59:03,374,14
lubuskie,no-data,2020-05-04 13:59:03,90,0
łódzkie,no-data,2020-05-04 13:59:03,1049,34
małopolskie,no-data,2020-05-04 13:59:03,974,31
mazowieckie,no-data,2020-05-04 13:59:03,2541,208
opolskie,no-data,2020-05-04 13:59:03,429,28
podkarpackie,no-data,2020-05-04 13:59:03,356,24
podlaskie,no-data,2020-05-04 13:59:03,378,5
pomorskie,no-data,2020-05-04 13:59:03,444,17
śląskie,no-data,2020-05-04 13:59:03,2637,128
świętokrzyskie,no-data,2020-05-04 13:59:03,282,8
warmińsko-mazurskie,no-data,2020-05-04 13:59:03,150,1
wielkopolskie,no-data,2020-05-04 13:59:03,1529,93
zachodniopomorskie,no-data,2020-05-04 13:59:03,427,10
