Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-05-19 11:59:03,2241,91
kujawsko-pomorskie,no-data,2020-05-19 11:59:03,582,44
lubelskie,no-data,2020-05-19 11:59:03,409,14
lubuskie,no-data,2020-05-19 11:59:03,92,0
łódzkie,no-data,2020-05-19 11:59:03,1251,49
małopolskie,no-data,2020-05-19 11:59:03,1146,39
mazowieckie,no-data,2020-05-19 11:59:03,3003,234
opolskie,no-data,2020-05-19 11:59:03,551,40
podkarpackie,no-data,2020-05-19 11:59:03,374,34
podlaskie,no-data,2020-05-19 11:59:03,391,9
pomorskie,no-data,2020-05-19 11:59:03,502,28
śląskie,no-data,2020-05-19 11:59:03,5694,181
świętokrzyskie,no-data,2020-05-19 11:59:03,352,19
warmińsko-mazurskie,no-data,2020-05-19 11:59:03,175,1
wielkopolskie,no-data,2020-05-19 11:59:03,1815,140
zachodniopomorskie,no-data,2020-05-19 11:59:03,502,18
