Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-07-10 05:59:02,2 957,150
kujawsko-pomorskie,no-data,2020-07-10 05:59:02,693,49
lubelskie,no-data,2020-07-10 05:59:02,747,19
lubuskie,no-data,2020-07-10 05:59:02,155,0
łódzkie,no-data,2020-07-10 05:59:02,3 341,184
małopolskie,no-data,2020-07-10 05:59:02,1 947,45
mazowieckie,no-data,2020-07-10 05:59:02,5 301,350
opolskie,no-data,2020-07-10 05:59:02,986,53
podkarpackie,no-data,2020-07-10 05:59:02,825,55
podlaskie,no-data,2020-07-10 05:59:02,895,13
pomorskie,no-data,2020-07-10 05:59:02,693,38
śląskie,no-data,2020-07-10 05:59:02,13 583,351
świętokrzyskie,no-data,2020-07-10 05:59:02,851,41
warmińsko-mazurskie,no-data,2020-07-10 05:59:02,278,1
wielkopolskie,no-data,2020-07-10 05:59:02,3 076,179
zachodniopomorskie,no-data,2020-07-10 05:59:02,623,23
