Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-04-10 08:59:02,568,18
kujawsko-pomorskie,no-data,2020-04-10 08:59:02,280,6
lubelskie,no-data,2020-04-10 08:59:02,204,8
lubuskie,no-data,2020-04-10 08:59:02,69,0
łódzkie,no-data,2020-04-10 08:59:02,432,7
małopolskie,no-data,2020-04-10 08:59:02,432,8
mazowieckie,no-data,2020-04-10 08:59:02,1424,41
opolskie,no-data,2020-04-10 08:59:02,125,6
podkarpackie,no-data,2020-04-10 08:59:02,196,10
podlaskie,no-data,2020-04-10 08:59:02,168,2
pomorskie,no-data,2020-04-10 08:59:02,153,1
śląskie,no-data,2020-04-10 08:59:02,695,38
świętokrzyskie,no-data,2020-04-10 08:59:02,129,2
warmińsko-mazurskie,no-data,2020-04-10 08:59:02,95,1
wielkopolskie,no-data,2020-04-10 08:59:02,431,24
zachodniopomorskie,no-data,2020-04-10 08:59:02,174,2
