Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-05-21 06:59:03,2276,94
kujawsko-pomorskie,no-data,2020-05-21 06:59:03,584,44
lubelskie,no-data,2020-05-21 06:59:03,411,14
lubuskie,no-data,2020-05-21 06:59:03,92,0
łódzkie,no-data,2020-05-21 06:59:03,1273,51
małopolskie,no-data,2020-05-21 06:59:03,1150,40
mazowieckie,no-data,2020-05-21 06:59:03,3082,242
opolskie,no-data,2020-05-21 06:59:03,568,43
podkarpackie,no-data,2020-05-21 06:59:03,374,34
podlaskie,no-data,2020-05-21 06:59:03,405,9
pomorskie,no-data,2020-05-21 06:59:03,508,29
śląskie,no-data,2020-05-21 06:59:03,6082,182
świętokrzyskie,no-data,2020-05-21 06:59:03,357,20
warmińsko-mazurskie,no-data,2020-05-21 06:59:03,175,1
wielkopolskie,no-data,2020-05-21 06:59:03,1899,141
zachodniopomorskie,no-data,2020-05-21 06:59:03,503,18
