Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-07-27 19:59:03,3 170,152
kujawsko-pomorskie,no-data,2020-07-27 19:59:03,750,50
lubelskie,no-data,2020-07-27 19:59:03,927,20
lubuskie,no-data,2020-07-27 19:59:03,366,8
łódzkie,no-data,2020-07-27 19:59:03,3 824,203
małopolskie,no-data,2020-07-27 19:59:03,3 132,53
mazowieckie,no-data,2020-07-27 19:59:03,6 119,371
opolskie,no-data,2020-07-27 19:59:03,1 130,54
podkarpackie,no-data,2020-07-27 19:59:03,1 188,59
podlaskie,no-data,2020-07-27 19:59:03,947,18
pomorskie,no-data,2020-07-27 19:59:03,832,39
śląskie,no-data,2020-07-27 19:59:03,15 436,384
świętokrzyskie,no-data,2020-07-27 19:59:03,950,45
warmińsko-mazurskie,no-data,2020-07-27 19:59:03,338,2
wielkopolskie,no-data,2020-07-27 19:59:03,3 596,195
zachodniopomorskie,no-data,2020-07-27 19:59:03,697,23
