Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-07-19 04:59:02,3 042,152
kujawsko-pomorskie,no-data,2020-07-19 04:59:02,717,49
lubelskie,no-data,2020-07-19 04:59:02,875,20
lubuskie,no-data,2020-07-19 04:59:02,284,1
łódzkie,no-data,2020-07-19 04:59:02,3 578,192
małopolskie,no-data,2020-07-19 04:59:02,2 379,47
mazowieckie,no-data,2020-07-19 04:59:02,5 603,363
opolskie,no-data,2020-07-19 04:59:02,1028,54
podkarpackie,no-data,2020-07-19 04:59:02,1058,56
podlaskie,no-data,2020-07-19 04:59:02,911,16
pomorskie,no-data,2020-07-19 04:59:02,741,39
śląskie,no-data,2020-07-19 04:59:02,14 308,370
świętokrzyskie,no-data,2020-07-19 04:59:02,879,45
warmińsko-mazurskie,no-data,2020-07-19 04:59:02,292,1
wielkopolskie,no-data,2020-07-19 04:59:02,3 398,190
zachodniopomorskie,no-data,2020-07-19 04:59:02,653,23
