Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-04-29 09:59:02,1461,44
kujawsko-pomorskie,no-data,2020-04-29 09:59:02,518,27
lubelskie,no-data,2020-04-29 09:59:02,356,13
lubuskie,no-data,2020-04-29 09:59:02,87,0
łódzkie,no-data,2020-04-29 09:59:02,904,23
małopolskie,no-data,2020-04-29 09:59:02,852,29
mazowieckie,no-data,2020-04-29 09:59:02,2391,195
opolskie,no-data,2020-04-29 09:59:02,378,27
podkarpackie,no-data,2020-04-29 09:59:02,325,19
podlaskie,no-data,2020-04-29 09:59:02,367,3
pomorskie,no-data,2020-04-29 09:59:02,394,8
śląskie,no-data,2020-04-29 09:59:02,2023,105
świętokrzyskie,no-data,2020-04-29 09:59:02,264,8
warmińsko-mazurskie,no-data,2020-04-29 09:59:02,146,1
wielkopolskie,no-data,2020-04-29 09:59:02,1376,85
zachodniopomorskie,no-data,2020-04-29 09:59:02,376,9
