Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-05-08 19:59:02,1 870,66
kujawsko-pomorskie,no-data,2020-05-08 19:59:02,571,32
lubelskie,no-data,2020-05-08 19:59:02,384,14
lubuskie,no-data,2020-05-08 19:59:02,92,0
łódzkie,no-data,2020-05-08 19:59:02,1 150,40
małopolskie,no-data,2020-05-08 19:59:02,1 033,33
mazowieckie,no-data,2020-05-08 19:59:02,2 731,219
opolskie,no-data,2020-05-08 19:59:02,475,33
podkarpackie,no-data,2020-05-08 19:59:02,370,27
podlaskie,no-data,2020-05-08 19:59:02,383,7
pomorskie,no-data,2020-05-08 19:59:02,477,23
śląskie,no-data,2020-05-08 19:59:02,3 242,146
świętokrzyskie,no-data,2020-05-08 19:59:02,312,11
warmińsko-mazurskie,no-data,2020-05-08 19:59:02,157,1
wielkopolskie,no-data,2020-05-08 19:59:02,1 655,108
zachodniopomorskie,no-data,2020-05-08 19:59:02,464,16
