Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-06-23 12:59:03,2867,137
kujawsko-pomorskie,no-data,2020-06-23 12:59:03,652,49
lubelskie,no-data,2020-06-23 12:59:03,601,17
lubuskie,no-data,2020-06-23 12:59:03,154,0
łódzkie,no-data,2020-06-23 12:59:03,2918,145
małopolskie,no-data,2020-06-23 12:59:03,1624,44
mazowieckie,no-data,2020-06-23 12:59:03,4799,318
opolskie,no-data,2020-06-23 12:59:03,857,50
podkarpackie,no-data,2020-06-23 12:59:03,565,48
podlaskie,no-data,2020-06-23 12:59:03,736,10
pomorskie,no-data,2020-06-23 12:59:03,636,38
śląskie,no-data,2020-06-23 12:59:03,12084,294
świętokrzyskie,no-data,2020-06-23 12:59:03,721,34
warmińsko-mazurskie,no-data,2020-06-23 12:59:03,213,1
wielkopolskie,no-data,2020-06-23 12:59:03,2501,170
zachodniopomorskie,no-data,2020-06-23 12:59:03,599,20
