Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-07-09 18:59:03,2 957,150
kujawsko-pomorskie,no-data,2020-07-09 18:59:03,693,49
lubelskie,no-data,2020-07-09 18:59:03,747,19
lubuskie,no-data,2020-07-09 18:59:03,155,0
łódzkie,no-data,2020-07-09 18:59:03,3 341,184
małopolskie,no-data,2020-07-09 18:59:03,1 947,45
mazowieckie,no-data,2020-07-09 18:59:03,5 301,350
opolskie,no-data,2020-07-09 18:59:03,986,53
podkarpackie,no-data,2020-07-09 18:59:03,825,55
podlaskie,no-data,2020-07-09 18:59:03,895,13
pomorskie,no-data,2020-07-09 18:59:03,693,38
śląskie,no-data,2020-07-09 18:59:03,13 583,351
świętokrzyskie,no-data,2020-07-09 18:59:03,851,41
warmińsko-mazurskie,no-data,2020-07-09 18:59:03,278,1
wielkopolskie,no-data,2020-07-09 18:59:03,3 076,179
zachodniopomorskie,no-data,2020-07-09 18:59:03,623,23
