Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-04-03 23:59:02,400,6
kujawsko-pomorskie,no-data,2020-04-03 23:59:02,199,1
lubelskie,no-data,2020-04-03 23:59:02,157,6
lubuskie,no-data,2020-04-03 23:59:02,51,0
łódzkie,no-data,2020-04-03 23:59:02,248,3
małopolskie,no-data,2020-04-03 23:59:02,262,5
mazowieckie,no-data,2020-04-03 23:59:02,819,14
opolskie,no-data,2020-04-03 23:59:02,79,1
podkarpackie,no-data,2020-04-03 23:59:02,125,4
podlaskie,no-data,2020-04-03 23:59:02,74,0
pomorskie,no-data,2020-04-03 23:59:02,82,0
śląskie,no-data,2020-04-03 23:59:02,431,16
świętokrzyskie,no-data,2020-04-03 23:59:02,79,1
warmińsko-mazurskie,no-data,2020-04-03 23:59:02,75,0
wielkopolskie,no-data,2020-04-03 23:59:02,213,12
zachodniopomorskie,no-data,2020-04-03 23:59:02,89,2
