Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-07-11 00:59:02,2 970,150
kujawsko-pomorskie,no-data,2020-07-11 00:59:02,694,49
lubelskie,no-data,2020-07-11 00:59:02,760,19
lubuskie,no-data,2020-07-11 00:59:02,180,0
łódzkie,no-data,2020-07-11 00:59:02,3 357,186
małopolskie,no-data,2020-07-11 00:59:02,1 966,45
mazowieckie,no-data,2020-07-11 00:59:02,5 324,351
opolskie,no-data,2020-07-11 00:59:02,995,53
podkarpackie,no-data,2020-07-11 00:59:02,841,55
podlaskie,no-data,2020-07-11 00:59:02,897,15
pomorskie,no-data,2020-07-11 00:59:02,702,38
śląskie,no-data,2020-07-11 00:59:02,13 671,354
świętokrzyskie,no-data,2020-07-11 00:59:02,855,41
warmińsko-mazurskie,no-data,2020-07-11 00:59:02,280,1
wielkopolskie,no-data,2020-07-11 00:59:02,3 093,182
zachodniopomorskie,no-data,2020-07-11 00:59:02,631,23
