Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-04-04 17:59:03,407,6
kujawsko-pomorskie,no-data,2020-04-04 17:59:03,224,1
lubelskie,no-data,2020-04-04 17:59:03,165,6
lubuskie,no-data,2020-04-04 17:59:03,56,0
łódzkie,no-data,2020-04-04 17:59:03,259,3
małopolskie,no-data,2020-04-04 17:59:03,308,5
mazowieckie,no-data,2020-04-04 17:59:03,808,14
opolskie,no-data,2020-04-04 17:59:03,90,1
podkarpackie,no-data,2020-04-04 17:59:03,136,4
podlaskie,no-data,2020-04-04 17:59:03,82,0
pomorskie,no-data,2020-04-04 17:59:03,104,0
śląskie,no-data,2020-04-04 17:59:03,496,22
świętokrzyskie,no-data,2020-04-04 17:59:03,81,1
warmińsko-mazurskie,no-data,2020-04-04 17:59:03,78,1
wielkopolskie,no-data,2020-04-04 17:59:03,233,13
zachodniopomorskie,no-data,2020-04-04 17:59:03,100,2
