Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-07-08 04:59:03,2950,149
kujawsko-pomorskie,no-data,2020-07-08 04:59:03,685,49
lubelskie,no-data,2020-07-08 04:59:03,733,19
lubuskie,no-data,2020-07-08 04:59:03,152,0
łódzkie,no-data,2020-07-08 04:59:03,3287,178
małopolskie,no-data,2020-07-08 04:59:03,1884,44
mazowieckie,no-data,2020-07-08 04:59:03,5214,346
opolskie,no-data,2020-07-08 04:59:03,976,51
podkarpackie,no-data,2020-07-08 04:59:03,791,55
podlaskie,no-data,2020-07-08 04:59:03,882,13
pomorskie,no-data,2020-07-08 04:59:03,690,38
śląskie,no-data,2020-07-08 04:59:03,13403,344
świętokrzyskie,no-data,2020-07-08 04:59:03,843,40
warmińsko-mazurskie,no-data,2020-07-08 04:59:03,275,1
wielkopolskie,no-data,2020-07-08 04:59:03,3025,179
zachodniopomorskie,no-data,2020-07-08 04:59:03,622,22
