Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-05-15 23:59:02,2141,89
kujawsko-pomorskie,no-data,2020-05-15 23:59:02,581,42
lubelskie,no-data,2020-05-15 23:59:02,401,14
lubuskie,no-data,2020-05-15 23:59:02,92,0
łódzkie,no-data,2020-05-15 23:59:02,1227,46
małopolskie,no-data,2020-05-15 23:59:02,1117,35
mazowieckie,no-data,2020-05-15 23:59:02,2930,230
opolskie,no-data,2020-05-15 23:59:02,527,39
podkarpackie,no-data,2020-05-15 23:59:02,373,31
podlaskie,no-data,2020-05-15 23:59:02,387,9
pomorskie,no-data,2020-05-15 23:59:02,493,28
śląskie,no-data,2020-05-15 23:59:02,4994,172
świętokrzyskie,no-data,2020-05-15 23:59:02,340,17
warmińsko-mazurskie,no-data,2020-05-15 23:59:02,170,1
wielkopolskie,no-data,2020-05-15 23:59:02,1752,136
zachodniopomorskie,no-data,2020-05-15 23:59:02,491,18
