Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-04-01 20:59:03,298,4
kujawsko-pomorskie,no-data,2020-04-01 20:59:03,76,0
lubelskie,no-data,2020-04-01 20:59:03,132,4
lubuskie,no-data,2020-04-01 20:59:03,47,0
łódzkie,no-data,2020-04-01 20:59:03,221,0
małopolskie,no-data,2020-04-01 20:59:03,209,1
mazowieckie,no-data,2020-04-01 20:59:03,544,9
opolskie,no-data,2020-04-01 20:59:03,73,0
podkarpackie,no-data,2020-04-01 20:59:03,100,3
podlaskie,no-data,2020-04-01 20:59:03,44,0
pomorskie,no-data,2020-04-01 20:59:03,56,0
śląskie,no-data,2020-04-01 20:59:03,272,10
świętokrzyskie,no-data,2020-04-01 20:59:03,55,1
warmińsko-mazurskie,no-data,2020-04-01 20:59:03,59,0
wielkopolskie,no-data,2020-04-01 20:59:03,158,3
zachodniopomorskie,no-data,2020-04-01 20:59:03,76,1
