Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-06-15 14:59:02,2 767,126
kujawsko-pomorskie,no-data,2020-06-15 14:59:02,626,49
lubelskie,no-data,2020-06-15 14:59:02,544,16
lubuskie,no-data,2020-06-15 14:59:02,133,0
łódzkie,no-data,2020-06-15 14:59:02,2 479,107
małopolskie,no-data,2020-06-15 14:59:02,1 517,40
mazowieckie,no-data,2020-06-15 14:59:02,4 414,300
opolskie,no-data,2020-06-15 14:59:02,803,50
podkarpackie,no-data,2020-06-15 14:59:02,472,40
podlaskie,no-data,2020-06-15 14:59:02,621,9
pomorskie,no-data,2020-06-15 14:59:02,588,38
śląskie,no-data,2020-06-15 14:59:02,11 030,269
świętokrzyskie,no-data,2020-06-15 14:59:02,625,26
warmińsko-mazurskie,no-data,2020-06-15 14:59:02,186,1
wielkopolskie,no-data,2020-06-15 14:59:02,2 400,165
zachodniopomorskie,no-data,2020-06-15 14:59:02,583,20
