Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-04-06 10:59:03,477,11
kujawsko-pomorskie,no-data,2020-04-06 10:59:03,241,1
lubelskie,no-data,2020-04-06 10:59:03,180,6
lubuskie,no-data,2020-04-06 10:59:03,59,0
łódzkie,no-data,2020-04-06 10:59:03,326,3
małopolskie,no-data,2020-04-06 10:59:03,341,7
mazowieckie,no-data,2020-04-06 10:59:03,967,20
opolskie,no-data,2020-04-06 10:59:03,100,1
podkarpackie,no-data,2020-04-06 10:59:03,152,6
podlaskie,no-data,2020-04-06 10:59:03,97,1
pomorskie,no-data,2020-04-06 10:59:03,125,0
śląskie,no-data,2020-04-06 10:59:03,555,23
świętokrzyskie,no-data,2020-04-06 10:59:03,103,1
warmińsko-mazurskie,no-data,2020-04-06 10:59:03,83,1
wielkopolskie,no-data,2020-04-06 10:59:03,285,15
zachodniopomorskie,no-data,2020-04-06 10:59:03,110,2
