Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-06-08 20:59:03,2724,120
kujawsko-pomorskie,no-data,2020-06-08 20:59:03,602,47
lubelskie,no-data,2020-06-08 20:59:03,515,16
lubuskie,no-data,2020-06-08 20:59:03,126,0
łódzkie,no-data,2020-06-08 20:59:03,2084,82
małopolskie,no-data,2020-06-08 20:59:03,1389,40
mazowieckie,no-data,2020-06-08 20:59:03,3953,286
opolskie,no-data,2020-06-08 20:59:03,737,49
podkarpackie,no-data,2020-06-08 20:59:03,396,38
podlaskie,no-data,2020-06-08 20:59:03,524,9
pomorskie,no-data,2020-06-08 20:59:03,569,37
śląskie,no-data,2020-06-08 20:59:03,9965,241
świętokrzyskie,no-data,2020-06-08 20:59:03,555,24
warmińsko-mazurskie,no-data,2020-06-08 20:59:03,181,1
wielkopolskie,no-data,2020-06-08 20:59:03,2286,157
zachodniopomorskie,no-data,2020-06-08 20:59:03,554,19
