Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-04-22 11:59:03,1136,33
kujawsko-pomorskie,no-data,2020-04-22 11:59:03,452,17
lubelskie,no-data,2020-04-22 11:59:03,332,10
lubuskie,no-data,2020-04-22 11:59:03,84,0
łódzkie,no-data,2020-04-22 11:59:03,750,10
małopolskie,no-data,2020-04-22 11:59:03,726,21
mazowieckie,no-data,2020-04-22 11:59:03,2059,126
opolskie,no-data,2020-04-22 11:59:03,316,15
podkarpackie,no-data,2020-04-22 11:59:03,271,16
podlaskie,no-data,2020-04-22 11:59:03,333,3
pomorskie,no-data,2020-04-22 11:59:03,227,2
śląskie,no-data,2020-04-22 11:59:03,1580,80
świętokrzyskie,no-data,2020-04-22 11:59:03,242,4
warmińsko-mazurskie,no-data,2020-04-22 11:59:03,145,1
wielkopolskie,no-data,2020-04-22 11:59:03,1097,62
zachodniopomorskie,no-data,2020-04-22 11:59:03,284,4
