Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-03-25 12:59:03,134,4
kujawsko-pomorskie,no-data,2020-03-25 12:59:03,22,0
lubelskie,no-data,2020-03-25 12:59:03,61,2
lubuskie,no-data,2020-03-25 12:59:03,18,0
łódzkie,no-data,2020-03-25 12:59:03,129,0
małopolskie,no-data,2020-03-25 12:59:03,50,0
mazowieckie,no-data,2020-03-25 12:59:03,212,1
opolskie,no-data,2020-03-25 12:59:03,21,0
podkarpackie,no-data,2020-03-25 12:59:03,39,1
podlaskie,no-data,2020-03-25 12:59:03,7,0
pomorskie,no-data,2020-03-25 12:59:03,22,0
śląskie,no-data,2020-03-25 12:59:03,96,2
świętokrzyskie,no-data,2020-03-25 12:59:03,8,0
warmińsko-mazurskie,no-data,2020-03-25 12:59:03,32,0
wielkopolskie,no-data,2020-03-25 12:59:03,46,2
zachodniopomorskie,no-data,2020-03-25 12:59:03,30,0
