Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-03-29 12:59:02,214,4
kujawsko-pomorskie,no-data,2020-03-29 12:59:02,37,0
lubelskie,no-data,2020-03-29 12:59:02,99,3
lubuskie,no-data,2020-03-29 12:59:02,33,0
łódzkie,no-data,2020-03-29 12:59:02,182,0
małopolskie,no-data,2020-03-29 12:59:02,123,0
mazowieckie,no-data,2020-03-29 12:59:02,421,4
opolskie,no-data,2020-03-29 12:59:02,43,0
podkarpackie,no-data,2020-03-29 12:59:02,71,1
podlaskie,no-data,2020-03-29 12:59:02,27,0
pomorskie,no-data,2020-03-29 12:59:02,37,0
śląskie,no-data,2020-03-29 12:59:02,187,3
świętokrzyskie,no-data,2020-03-29 12:59:02,33,1
warmińsko-mazurskie,no-data,2020-03-29 12:59:02,56,0
wielkopolskie,no-data,2020-03-29 12:59:02,101,2
zachodniopomorskie,no-data,2020-03-29 12:59:02,53,1
