Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-03-18 20:59:02,40,2
kujawsko-pomorskie,no-data,2020-03-18 20:59:02,8,0
lubelskie,no-data,2020-03-18 20:59:02,22,1
lubuskie,no-data,2020-03-18 20:59:02,3,0
łódzkie,no-data,2020-03-18 20:59:02,42,0
małopolskie,no-data,2020-03-18 20:59:02,6,0
mazowieckie,no-data,2020-03-18 20:59:02,66,0
opolskie,no-data,2020-03-18 20:59:02,9,0
podkarpackie,no-data,2020-03-18 20:59:02,14,1
podlaskie,no-data,2020-03-18 20:59:02,2,0
pomorskie,no-data,2020-03-18 20:59:02,9,0
śląskie,no-data,2020-03-18 20:59:02,30,0
świętokrzyskie,no-data,2020-03-18 20:59:02,4,0
warmińsko-mazurskie,no-data,2020-03-18 20:59:02,11,0
wielkopolskie,no-data,2020-03-18 20:59:02,13,1
zachodniopomorskie,no-data,2020-03-18 20:59:02,8,0
