Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-08-02 04:59:02,3 273,155
kujawsko-pomorskie,no-data,2020-08-02 04:59:02,801,50
lubelskie,no-data,2020-08-02 04:59:02,994,21
lubuskie,no-data,2020-08-02 04:59:02,410,10
łódzkie,no-data,2020-08-02 04:59:02,4 022,206
małopolskie,no-data,2020-08-02 04:59:02,3 692,64
mazowieckie,no-data,2020-08-02 04:59:02,6 483,377
opolskie,no-data,2020-08-02 04:59:02,1 188,56
podkarpackie,no-data,2020-08-02 04:59:02,1 329,60
podlaskie,no-data,2020-08-02 04:59:02,979,21
pomorskie,no-data,2020-08-02 04:59:02,919,39
śląskie,no-data,2020-08-02 04:59:02,16 381,394
świętokrzyskie,no-data,2020-08-02 04:59:02,975,45
warmińsko-mazurskie,no-data,2020-08-02 04:59:02,379,2
wielkopolskie,no-data,2020-08-02 04:59:02,3 780,198
zachodniopomorskie,no-data,2020-08-02 04:59:02,741,23
