Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-06-14 13:59:03,2767,125
kujawsko-pomorskie,no-data,2020-06-14 13:59:03,626,49
lubelskie,no-data,2020-06-14 13:59:03,543,16
lubuskie,no-data,2020-06-14 13:59:03,132,0
łódzkie,no-data,2020-06-14 13:59:03,2406,107
małopolskie,no-data,2020-06-14 13:59:03,1508,40
mazowieckie,no-data,2020-06-14 13:59:03,4358,298
opolskie,no-data,2020-06-14 13:59:03,795,49
podkarpackie,no-data,2020-06-14 13:59:03,458,40
podlaskie,no-data,2020-06-14 13:59:03,608,9
pomorskie,no-data,2020-06-14 13:59:03,588,37
śląskie,no-data,2020-06-14 13:59:03,10842,266
świętokrzyskie,no-data,2020-06-14 13:59:03,611,26
warmińsko-mazurskie,no-data,2020-06-14 13:59:03,186,1
wielkopolskie,no-data,2020-06-14 13:59:03,2383,165
zachodniopomorskie,no-data,2020-06-14 13:59:03,581,19
