Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-03-28 17:59:03,199,4
kujawsko-pomorskie,no-data,2020-03-28 17:59:03,37,0
lubelskie,no-data,2020-03-28 17:59:03,85,3
lubuskie,no-data,2020-03-28 17:59:03,32,0
łódzkie,no-data,2020-03-28 17:59:03,182,0
małopolskie,no-data,2020-03-28 17:59:03,109,0
mazowieckie,no-data,2020-03-28 17:59:03,318,3
opolskie,no-data,2020-03-28 17:59:03,30,0
podkarpackie,no-data,2020-03-28 17:59:03,62,1
podlaskie,no-data,2020-03-28 17:59:03,26,0
pomorskie,no-data,2020-03-28 17:59:03,35,0
śląskie,no-data,2020-03-28 17:59:03,151,2
świętokrzyskie,no-data,2020-03-28 17:59:03,27,1
warmińsko-mazurskie,no-data,2020-03-28 17:59:03,46,0
wielkopolskie,no-data,2020-03-28 17:59:03,95,2
zachodniopomorskie,no-data,2020-03-28 17:59:03,47,1
