Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-07-05 13:59:03,2 936,149
kujawsko-pomorskie,no-data,2020-07-05 13:59:03,681,49
lubelskie,no-data,2020-07-05 13:59:03,692,18
lubuskie,no-data,2020-07-05 13:59:03,151,0
łódzkie,no-data,2020-07-05 13:59:03,3 247,176
małopolskie,no-data,2020-07-05 13:59:03,1 851,44
mazowieckie,no-data,2020-07-05 13:59:03,5 169,346
opolskie,no-data,2020-07-05 13:59:03,972,51
podkarpackie,no-data,2020-07-05 13:59:03,761,52
podlaskie,no-data,2020-07-05 13:59:03,876,12
pomorskie,no-data,2020-07-05 13:59:03,687,38
śląskie,no-data,2020-07-05 13:59:03,13 263,341
świętokrzyskie,no-data,2020-07-05 13:59:03,829,40
warmińsko-mazurskie,no-data,2020-07-05 13:59:03,272,1
wielkopolskie,no-data,2020-07-05 13:59:03,2 942,178
zachodniopomorskie,no-data,2020-07-05 13:59:03,621,22
