Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-04-08 04:59:03,527,14
kujawsko-pomorskie,no-data,2020-04-08 04:59:03,264,1
lubelskie,no-data,2020-04-08 04:59:03,192,7
lubuskie,no-data,2020-04-08 04:59:03,62,0
łódzkie,no-data,2020-04-08 04:59:03,358,5
małopolskie,no-data,2020-04-08 04:59:03,371,8
mazowieckie,no-data,2020-04-08 04:59:03,1247,25
opolskie,no-data,2020-04-08 04:59:03,107,3
podkarpackie,no-data,2020-04-08 04:59:03,168,7
podlaskie,no-data,2020-04-08 04:59:03,127,1
pomorskie,no-data,2020-04-08 04:59:03,135,0
śląskie,no-data,2020-04-08 04:59:03,601,32
świętokrzyskie,no-data,2020-04-08 04:59:03,120,1
warmińsko-mazurskie,no-data,2020-04-08 04:59:03,87,1
wielkopolskie,no-data,2020-04-08 04:59:03,349,22
zachodniopomorskie,no-data,2020-04-08 04:59:03,133,2
