Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-06-20 01:59:03,2 838,135
kujawsko-pomorskie,no-data,2020-06-20 01:59:03,644,49
lubelskie,no-data,2020-06-20 01:59:03,576,17
lubuskie,no-data,2020-06-20 01:59:03,149,0
łódzkie,no-data,2020-06-20 01:59:03,2 743,133
małopolskie,no-data,2020-06-20 01:59:03,1 577,41
mazowieckie,no-data,2020-06-20 01:59:03,4 635,310
opolskie,no-data,2020-06-20 01:59:03,834,50
podkarpackie,no-data,2020-06-20 01:59:03,529,45
podlaskie,no-data,2020-06-20 01:59:03,673,10
pomorskie,no-data,2020-06-20 01:59:03,601,38
śląskie,no-data,2020-06-20 01:59:03,11 583,288
świętokrzyskie,no-data,2020-06-20 01:59:03,687,30
warmińsko-mazurskie,no-data,2020-06-20 01:59:03,212,1
wielkopolskie,no-data,2020-06-20 01:59:03,2 440,167
zachodniopomorskie,no-data,2020-06-20 01:59:03,595,20
