Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-06-26 05:59:02,2 884,138
kujawsko-pomorskie,no-data,2020-06-26 05:59:02,661,49
lubelskie,no-data,2020-06-26 05:59:02,619,17
lubuskie,no-data,2020-06-26 05:59:02,146,0
łódzkie,no-data,2020-06-26 05:59:02,2 996,155
małopolskie,no-data,2020-06-26 05:59:02,1 640,44
mazowieckie,no-data,2020-06-26 05:59:02,4 861,324
opolskie,no-data,2020-06-26 05:59:02,889,50
podkarpackie,no-data,2020-06-26 05:59:02,589,50
podlaskie,no-data,2020-06-26 05:59:02,763,10
pomorskie,no-data,2020-06-26 05:59:02,646,38
śląskie,no-data,2020-06-26 05:59:02,12 317,308
świętokrzyskie,no-data,2020-06-26 05:59:02,750,36
warmińsko-mazurskie,no-data,2020-06-26 05:59:02,227,1
wielkopolskie,no-data,2020-06-26 05:59:02,2 527,172
zachodniopomorskie,no-data,2020-06-26 05:59:02,604,20
