Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-07-01 07:59:03,2 919,143
kujawsko-pomorskie,no-data,2020-07-01 07:59:03,672,49
lubelskie,no-data,2020-07-01 07:59:03,651,18
lubuskie,no-data,2020-07-01 07:59:03,151,0
łódzkie,no-data,2020-07-01 07:59:03,3 124,163
małopolskie,no-data,2020-07-01 07:59:03,1 745,44
mazowieckie,no-data,2020-07-01 07:59:03,5 023,330
opolskie,no-data,2020-07-01 07:59:03,941,51
podkarpackie,no-data,2020-07-01 07:59:03,649,50
podlaskie,no-data,2020-07-01 07:59:03,843,10
pomorskie,no-data,2020-07-01 07:59:03,667,38
śląskie,no-data,2020-07-01 07:59:03,12 686,329
świętokrzyskie,no-data,2020-07-01 07:59:03,798,39
warmińsko-mazurskie,no-data,2020-07-01 07:59:03,244,1
wielkopolskie,no-data,2020-07-01 07:59:03,2 669,176
zachodniopomorskie,no-data,2020-07-01 07:59:03,611,22
