Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-05-07 09:59:03,1789,57
kujawsko-pomorskie,no-data,2020-05-07 09:59:03,561,30
lubelskie,no-data,2020-05-07 09:59:03,380,14
lubuskie,no-data,2020-05-07 09:59:03,90,0
łódzkie,no-data,2020-05-07 09:59:03,1115,36
małopolskie,no-data,2020-05-07 09:59:03,1009,32
mazowieckie,no-data,2020-05-07 09:59:03,2673,215
opolskie,no-data,2020-05-07 09:59:03,450,31
podkarpackie,no-data,2020-05-07 09:59:03,366,25
podlaskie,no-data,2020-05-07 09:59:03,380,6
pomorskie,no-data,2020-05-07 09:59:03,460,21
śląskie,no-data,2020-05-07 09:59:03,2947,138
świętokrzyskie,no-data,2020-05-07 09:59:03,300,10
warmińsko-mazurskie,no-data,2020-05-07 09:59:03,152,1
wielkopolskie,no-data,2020-05-07 09:59:03,1616,102
zachodniopomorskie,no-data,2020-05-07 09:59:03,452,15
